MOVIMIENTO DE INTEGRACION Y DESARROLLO;MID;1
PARTIDO JUSTICIALISTA;PJ;2
UNION CIVICA RADICAL;UCR;3
PARTIDO DEMOCRATA CRISTIANO;PDC;4
EMBLEMA PARTIDO INTRANSIGENTE.SVG;PI;5
PARTIDO FEDERAL;PF;6
PARTIDO DEMOCRATA PROGRESISTA;PDP;7
PARTIDO COMUNISTA;PCA;8
PARTIDO CONSERVADOR POPULAR;PCP;9
UNION POPULAR FEDERAL;UPF;10
PARTIDO NACIONALISTA CONSTITUCIONAL UNIR;PNCUNIR;11
PARTIDO AUTONOMISTA;PA;12
MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES;MST;13
MOVIMIENTO LIBRES DEL SUR;LDS;14
FRENTE GRANDE;FG;15
COALICION CIVICA ARI;CCARRI;16
PARTIDO SOCIALISTA;PS;17
PARTIDO DE LA VICTORIAPARTIDO DE LA VICTORIA;PV;18
MOVIMIENTO DE ACCION VECINAL;MAV;19
IZQUIERDA POR UNA OPCION SOCIALISTA;IS;20
PROPUESTA REPUBLICANA;PRO;21
UNION CELESTE Y BLANCO;UCYB;22
PARTIDO SOLIDARIO;PSOL;23
CORRIENTE DE LIBERACION NACIONAL;KOLINA;24
NUEVA IZQUIERDA;NE;25
GENERACION PARA UN ENCUENTRO NACIONAL;GEN;26
PARTIDO DE TRABAJADORES POR EL SOCIALISMO;PTS;27
PARTIDO DEL OBRERO;PO;28
UNIDAD POPULAR;UP;29
NUEVO ENCUENTRO;NE2;30
PARTIDO COMUNISTA REVOLUCIONARIO;PCR;31
PARTIDO DE LA CONCERTACION FORJA;FORJA;32
PARTIDO DE LA CULTURA, LA EDUCACION Y EL TRABAJO;CET;33
PARTIDO FE;FE;34
PARTIDO TERCERA POSICION;P3P;35
PARTIDO RENOVADOR FEDERAL;PRF;36
COMPROMISO FEDERAL;CF;37
MOVIMIENTO PROYECTO SUR;SUR;38
PARTIDO DEL TRABAJO Y LA EQUIDAD;PARTE;39
PARTIDO DEMOCRATA;PD;40
FRENTE RENOVADOR;FRA;41
UNITE POR LA LIBERTAD Y LA DIGNIDAD;UNITE;42
ENCUENTRO REPUBLICANO FEDERAL;ERF;43
MOVIMIENTO IZQUIERDA JUVENTUD DIGNIDAD;MIJD;44